conference_topic,research_area,concept
The current application of somatics to dance/performing arts training and education,field of dance,dance
The aesthetic implications of working with/from a somatic understanding,field of dance,somatic understanding
The aesthetic implications of working with/from a somatic understanding,field of dance,aesthetic implications
Choreographing deportation in david herrera's touch,field of dance,deportation
Choreographing deportation in david herrera's touch,field of dance,choreography
New models of digital economy and financial development,financial development,financial development
New models of digital economy and financial development,financial development,digital economy
The impact of digital economy and financial development on regional sustainable development,financial development,regional sustainable development
The impact of digital economy and financial development on regional sustainable development,financial development,financial development
The impact of digital economy and financial development on regional sustainable development,financial development,digital economy
Adaptive risk preferences: unraveling the impact of monetary policy on output,financial economics,risk preferences
Adaptive risk preferences: unraveling the impact of monetary policy on output,financial economics,monetary policy
Adaptive risk preferences: unraveling the impact of monetary policy on output,financial economics,output
Assessing tail risk via a generalized conditional autoregressive expectile model,financial economics,tail risk
Assessing tail risk via a generalized conditional autoregressive expectile model,financial economics,generalized conditional autoregressive expectile model
Accounting for changes in long-term interest rates: evidence from canada,financial economics,long-term interest rates
Diverging roads: theory-based vs. machine learning-implied stock risk premia,financial economics,theory-based
Diverging roads: theory-based vs. machine learning-implied stock risk premia,financial economics,stock risk premia
Diverging roads: theory-based vs. machine learning-implied stock risk premia,financial economics,machine learning
How optimal was u.s. monetary policy at the zero lower bound?,financial economics,monetary policy
How optimal was u.s. monetary policy at the zero lower bound?,financial economics,zero lower bound
2025 ieee symposia on ci for financial engineering and economics (ieee cifer),financial engineering,economics
2025 ieee symposia on ci for financial engineering and economics (ieee cifer),financial engineering,financial engineering
Financial management certificate,financial management,financial management
Technological innovations in financial markets – risks and opportunities in banking and regulation,financial markets,financial markets
Technological innovations in financial markets – risks and opportunities in banking and regulation,financial markets,banking
Technological innovations in financial markets – risks and opportunities in banking and regulation,financial markets,technological innovations
Technological innovations in financial markets – risks and opportunities in banking and regulation,financial markets,regulation
Technological innovations in financial markets – risks and opportunities in banking and regulation,financial resources,financial markets
Technological innovations in financial markets – risks and opportunities in banking and regulation,financial resources,banking
Technological innovations in financial markets – risks and opportunities in banking and regulation,financial resources,technological innovations
Technological innovations in financial markets – risks and opportunities in banking and regulation,financial resources,regulation
8th annual conference on financial market regulation (cfmr 2021),financial regulation,financial market regulation
Call for papers: journal of finance issues,financial resources,finance
Stigler center- cepr political economy of finance conference: governance in a polarized world,financial resources,finance
Stigler center- cepr political economy of finance conference: governance in a polarized world,financial resources,political economy
Stigler center- cepr political economy of finance conference: governance in a polarized world,financial resources,governance
An infinite tube approach for the efficient modelling of collapse using the finite element method,finite element method,finite element method
A condensed generalized finite element method (cgfem) for interface problems,finite element method,finite element method
An extended finite element method implementation in comsol multiphysics: solid mechanics,finite element method,finite element method
A c1 finite element method for axisymmetric lipid membranes in the presence of the gaussian energy,finite element method,finite element method
A stabilizer-free weak galerkin finite element method for the stokes equations,finite element method,finite element method
Mixed finite element method ◽,finite element method,finite element method
"The fire ecology of caribbean pine in nicaragua, by neil munro, pp. 67 –",fire ecology,fire ecology
"The meteorological basis for fire ecology, by e. v. komarek, sr., pp. 85 –",fire ecology,fire ecology
"Fire ecology in canebrakes, by ralph h. hughes, pp. 149 –",fire ecology,fire ecology
Breaking news: first amendment on trial,first amendment,first amendment
A symposium analyzing the intersection of journalism and the law,first amendment,journalism
A symposium analyzing the intersection of journalism and the law,first amendment,law
Freedom of press,first amendment,freedom of press
Free speech,first amendment,free speech
Usability of flight deck systems,flight deck,flight deck systems
Usability of flight deck systems,flight deck,usability
Emerging flight deck interface technology,flight deck,flight deck interface technology
Integrated flight deck displays,flight deck,integrated flight deck displays
Information presentation on the flight deck,flight deck,information presentation
Information presentation on the flight deck,flight deck,flight deck
Trust in automation and flight deck systems,flight deck,automation
Trust in automation and flight deck systems,flight deck,trust
Trust in automation and flight deck systems,flight deck,flight deck systems
Human machine teaming on the flight deck,flight deck,flight deck
Human machine teaming on the flight deck,flight deck,human machine teaming
Prioritization of flight deck warnings and alerts,flight deck,alerts
Prioritization of flight deck warnings and alerts,flight deck,flight deck
Prioritization of flight deck warnings and alerts,flight deck,warnings
Efb utilization on the flight deck,flight deck,flight deck
Efb utilization on the flight deck,flight deck,efb
Special issue: human computer interaction on the modern flight,flight deck,human computer interaction
Special issue: human computer interaction on the modern flight,flight deck,flight
Mode complexity and confusion,flight deck,mode complexity
Mode complexity and confusion,flight deck,confusion
Efb application design and evaluation,flight deck,application design
Efb application design and evaluation,flight deck,efb
Efb application design and evaluation,flight deck,evaluation
"Automated system visibility, transparency and complexity",flight deck,automated system
"Automated system visibility, transparency and complexity",flight deck,complexity
"Automated system visibility, transparency and complexity",flight deck,visibility
"Automated system visibility, transparency and complexity",flight deck,transparency
Technology impact on pilot startle and surprise,flight deck,technology
Technology impact on pilot startle and surprise,flight deck,surprise
Technology impact on pilot startle and surprise,flight deck,startle
Technology impact on pilot startle and surprise,flight deck,pilot
Data comm and text-based communication technology,flight deck,text-based communication
Data comm and text-based communication technology,flight deck,technology
Data comm and text-based communication technology,flight deck,data comm
Technology implications for single-pilot operations,flight deck,technology
Technology implications for single-pilot operations,flight deck,single-pilot operations
Extracellular vesicles and flow cytometry – part,flow cytometry,flow cytometry
Extracellular vesicles and flow cytometry – part,flow cytometry,extracellular vesicles
Non-mammalian flow cytometry,flow cytometry,flow cytometry
Spectral and high dimensional panel design,flow cytometry,panel design
High-dimensional full-spectrum panel design and optimisation,flow cytometry,panel design
Introduction to cytometry data analysis in r,flow cytometry,cytometry
Introduction to cytometry data analysis in r,flow cytometry,data analysis
High dimensional data analysis: introduction,flow cytometry,data analysis
Special issue call for papers: open and closed-loop control systems for active flow control,flow dynamics,control systems
Special issue call for papers: open and closed-loop control systems for active flow control,flow dynamics,flow control
"Topics: drag (fluid dynamics) , flow (dynamics) , trucks , vortices , wakes",flow dynamics,flow
"Topics: drag (fluid dynamics) , flow (dynamics) , trucks , vortices , wakes",flow dynamics,trucks
"Topics: drag (fluid dynamics) , flow (dynamics) , trucks , vortices , wakes",flow dynamics,drag
"Topics: drag (fluid dynamics) , flow (dynamics) , trucks , vortices , wakes",flow dynamics,vortices
"Topics: drag (fluid dynamics) , flow (dynamics) , trucks , vortices , wakes",flow dynamics,wakes
"Topics: drag (fluid dynamics) , roads , traction",flow dynamics,roads
"Topics: drag (fluid dynamics) , roads , traction",flow dynamics,traction
"Topics: drag (fluid dynamics) , roads , traction",flow dynamics,drag
Parallel session 1. green and rapid analytical methods in food chemistry,food chemistry,analytical methods
Oral topic 1: innovative processing and sustainable valorisation,food chemistry,processing
Oral topic 1: innovative processing and sustainable valorisation,food chemistry,valorisation
Parallel session 1. advanced processing techniques for enhanced food quality,food chemistry,food quality
Parallel session 1. advanced processing techniques for enhanced food quality,food chemistry,processing techniques
Parallel session 2. valorisation of food co-products and waste,food chemistry,valorisation
Parallel session 2. valorisation of food co-products and waste,food chemistry,food co-products
Parallel session 2. valorisation of food co-products and waste,food chemistry,waste
"Oral topic 2: nutrients, bioactive components, and other emerging components",food chemistry,bioactive components
"Oral topic 2: nutrients, bioactive components, and other emerging components",food chemistry,nutrients
Parallel session 1. nutrients and bioactives: composition and benefits,food chemistry,composition
Parallel session 1. nutrients and bioactives: composition and benefits,food chemistry,benefits
Parallel session 1. nutrients and bioactives: composition and benefits,food chemistry,nutrients
Parallel session 1. nutrients and bioactives: composition and benefits,food chemistry,bioactives
Parallel session 2. allergen identification and management of allergens in foods,food chemistry,foods
Parallel session 2. allergen identification and management of allergens in foods,food chemistry,allergens
Parallel session 2. allergen identification and management of allergens in foods,food chemistry,management
Parallel session 2. allergen identification and management of allergens in foods,food chemistry,allergen identification
Parallel session 3. food sensory attributes and consumer perception,food chemistry,consumer perception
Parallel session 3. food sensory attributes and consumer perception,food chemistry,food sensory attributes
Oral topic 3: methods and technologies for sustainability,food chemistry,methods
Oral topic 3: methods and technologies for sustainability,food chemistry,technologies
Oral topic 3: methods and technologies for sustainability,food chemistry,sustainability
"Oral topic 4: big data, artificial intelligence, and digital technologies in food",food chemistry,big data
"Oral topic 4: big data, artificial intelligence, and digital technologies in food",food chemistry,artificial intelligence
"Oral topic 4: big data, artificial intelligence, and digital technologies in food",food chemistry,digital technologies
"Oral topic 4: big data, artificial intelligence, and digital technologies in food",food chemistry,food
"Parallel session 1. leveraging big data to enhance food safety and quality, and health benefits",food chemistry,big data
"Parallel session 1. leveraging big data to enhance food safety and quality, and health benefits",food chemistry,food safety
"Parallel session 1. leveraging big data to enhance food safety and quality, and health benefits",food chemistry,food quality
"Parallel session 1. leveraging big data to enhance food safety and quality, and health benefits",food chemistry,health benefits
Parallel session 2. simulation and modelling in food processing,food chemistry,simulation
Parallel session 2. simulation and modelling in food processing,food chemistry,modelling
Parallel session 2. simulation and modelling in food processing,food chemistry,food processing
Parallel session 3. artificial intelligence and machine learning in food innovation,food chemistry,artificial intelligence
Parallel session 3. artificial intelligence and machine learning in food innovation,food chemistry,food innovation
Parallel session 3. artificial intelligence and machine learning in food innovation,food chemistry,machine learning
1. innovations in non-thermal processing,food chemistry,non-thermal processing
"2. innovations in fermentation, germination and extrusion",food chemistry,extrusion
"2. innovations in fermentation, germination and extrusion",food chemistry,germination
"2. innovations in fermentation, germination and extrusion",food chemistry,fermentation
3. upcycling food waste into value-added products,food chemistry,value-added products
3. upcycling food waste into value-added products,food chemistry,upcycling
3. upcycling food waste into value-added products,food chemistry,food waste
4. characterisation and health benefits of nutrients and bioactives,food chemistry,bioactives
4. characterisation and health benefits of nutrients and bioactives,food chemistry,nutrients
4. characterisation and health benefits of nutrients and bioactives,food chemistry,health benefits
4. characterisation and health benefits of nutrients and bioactives,food chemistry,characterisation
5. cutting-edge allergen detection methods,food chemistry,allergen detection
5. cutting-edge allergen detection methods,food chemistry,methods
6. sensory analysis and consumer perception studies,food chemistry,sensory analysis
6. sensory analysis and consumer perception studies,food chemistry,consumer perception
7. innovations in biodegradable and edible packaging,food chemistry,edible packaging
7. innovations in biodegradable and edible packaging,food chemistry,biodegradable packaging
8. smart packaging for food quality and safety,food chemistry,food safety
8. smart packaging for food quality and safety,food chemistry,food quality
8. smart packaging for food quality and safety,food chemistry,smart packaging
9. big data analytics in food safety and quality control,food chemistry,quality control
9. big data analytics in food safety and quality control,food chemistry,food safety
9. big data analytics in food safety and quality control,food chemistry,big data analytics
Food law and policy,food law,food law
Food law and policy,food law,policy
Track 1:food microbiology,food microbiology,food microbiology
Track 21:food microbiology and enzymology,food microbiology,enzymology
Track 21:food microbiology and enzymology,food microbiology,food microbiology
Exploring the hidden world of microbes in food systems,food microbiology,microbes
Exploring the hidden world of microbes in food systems,food microbiology,food systems
Track 3:foodborne infections and disease,food microbiology,foodborne infections
Track 3:foodborne infections and disease,food microbiology,disease
Track 10:microbial science of food fermentations,food microbiology,food fermentations
Track 10:microbial science of food fermentations,food microbiology,microbial science
Track 12:predictive microbiology and microbial risk assessment,food microbiology,microbial risk assessment
Track 12:predictive microbiology and microbial risk assessment,food microbiology,predictive microbiology
Track 13:fermented foods,food microbiology,fermented foods
Track 24:impact of climate change on food safety and spoilage,food microbiology,food safety
Track 24:impact of climate change on food safety and spoilage,food microbiology,spoilage
Track 24:impact of climate change on food safety and spoilage,food microbiology,climate change
Track 25:microbial resistance,food microbiology,microbial resistance
Theme 1: food production and sustainability,food policy,sustainability
Theme 1: food production and sustainability,food policy,food production
"Theme 2: food, nutrition, and health",food policy,nutrition
"Theme 2: food, nutrition, and health",food policy,health
"Theme 2: food, nutrition, and health",food policy,food
"Theme 3: food politics, policies, and cultures",food policy,policies
"Theme 3: food politics, policies, and cultures",food policy,food politics
"Theme 3: food politics, policies, and cultures",food policy,cultures
Session 1: food safety and health,food safety,food safety
Session 1: food safety and health,food safety,health
Session 2: advancements in food safety technologies,food safety,food safety
Session 2: advancements in food safety technologies,food safety,technologies
Session 5: food safety in the global supply chain,food safety,food safety
Session 5: food safety in the global supply chain,food safety,global supply chain
Session 6: risk assessment and management in food safety,food safety,food safety
Session 6: risk assessment and management in food safety,food safety,risk assessment
Session 6: risk assessment and management in food safety,food safety,management
Session 7: food safety regulations and standards,food safety,food safety
Session 7: food safety regulations and standards,food safety,standards
Session 7: food safety regulations and standards,food safety,regulations
Session 10: food safety in the era of climate change,food safety,food safety
Session 10: food safety in the era of climate change,food safety,climate change
Session 11: digital transformation in food safety,food safety,food safety
Session 11: digital transformation in food safety,food safety,digital transformation
Session 14: consumer behavior and food safety,food safety,food safety
Session 14: consumer behavior and food safety,food safety,consumer behavior
Session 15: rapid detection methods for food safety,food safety,food safety
Session 15: rapid detection methods for food safety,food safety,rapid detection methods
Session 16: food safety in the hospitality industry,food safety,food safety
Session 16: food safety in the hospitality industry,food safety,hospitality industry
Session 17: food safety education and training,food safety,education
Session 17: food safety education and training,food safety,food safety
Session 17: food safety education and training,food safety,training
Session 19: case studies in food safety and health,food safety,case studies
Session 19: case studies in food safety and health,food safety,food safety
Session 19: case studies in food safety and health,food safety,health
Session 3: microbial safety and foodborne pathogens,food safety,foodborne pathogens
Session 3: microbial safety and foodborne pathogens,food safety,microbial safety
Session 4: innovative food packaging solutions,food safety,innovative food packaging
Session 4: innovative food packaging solutions,food safety,solutions
Session 8: food contaminants and residues,food safety,food contaminants
Session 8: food contaminants and residues,food safety,residues
Session 9: emerging foodborne illnesses,food safety,emerging foodborne illnesses
Session 12: food allergen management,food safety,food allergen management
Session 13: sustainable food production and safety,food safety,safety
Session 13: sustainable food production and safety,food safety,sustainable food production
Session 18: innovations in food preservation,food safety,food preservation
Session 18: innovations in food preservation,food safety,innovations
Socio-economic impact of food insecurity on vulnerable population in nigeria,food security,vulnerable population
Socio-economic impact of food insecurity on vulnerable population in nigeria,food security,food insecurity
Socio-economic impact of food insecurity on vulnerable population in nigeria,food security,socio-economic impact
"Creating a municipal-level emergency food plan lessons from thunder bay, ontario",food security,municipal-level emergency food plan
"Big ambitions, modest beginnings: civil society participation in food system governance in australia",food security,food system governance
"Big ambitions, modest beginnings: civil society participation in food system governance in australia",food security,civil society participation
Resilience strategies for centers and institutes focused on food systems transformation,food security,resilience strategies
Resilience strategies for centers and institutes focused on food systems transformation,food security,food systems transformation
What role can food banks play in addressing the root causes of food insecurity?,food security,food insecurity
What role can food banks play in addressing the root causes of food insecurity?,food security,root causes
What role can food banks play in addressing the root causes of food insecurity?,food security,food banks
"Title:foreign direct investment, public debt and economic growth in developing countries",foreign direct investment,foreign direct investment
"Title:foreign direct investment, public debt and economic growth in developing countries",foreign direct investment,developing countries
"Title:foreign direct investment, public debt and economic growth in developing countries",foreign direct investment,economic growth
"Title:foreign direct investment, public debt and economic growth in developing countries",foreign direct investment,public debt
1. jibs call for papers on the outcomes of foreign divestment,foreign direct investment,foreign divestment
Call for papers: “continuity and change in turkey’s foreign policy”,foreign policy,foreign policy
Call for papers: “continuity and change in turkey’s foreign policy”,foreign policy,turkey
Call for papers: “continuity and change in turkey’s foreign policy”,foreign policy,change
Call for papers: “continuity and change in turkey’s foreign policy”,foreign policy,continuity
Call for papers: “continuity and change in turkey’s foreign policy”,foreign policy analysis,foreign policy
Call for papers: “continuity and change in turkey’s foreign policy”,foreign policy analysis,turkey
Call for papers: “continuity and change in turkey’s foreign policy”,foreign policy analysis,change
Call for papers: “continuity and change in turkey’s foreign policy”,foreign policy analysis,continuity
"Call for papers: state of the art in “foreign policy analysis""""",foreign policy,foreign policy analysis
"Call for papers: state of the art in “foreign policy analysis""""",foreign policy analysis,foreign policy analysis
Call for papers: resources and geopolitics in the era of energy transition,foreign policy,resources
Call for papers: resources and geopolitics in the era of energy transition,foreign policy,geopolitics
Call for papers: resources and geopolitics in the era of energy transition,foreign policy,energy transition
Call for papers: resources and geopolitics in the era of energy transition,foreign policy analysis,resources
Call for papers: resources and geopolitics in the era of energy transition,foreign policy analysis,geopolitics
Call for papers: resources and geopolitics in the era of energy transition,foreign policy analysis,energy transition
Call for papers: “china and the asia-pacific century in international politics”,foreign policy,asia-pacific
Call for papers: “china and the asia-pacific century in international politics”,foreign policy,china
Call for papers: “china and the asia-pacific century in international politics”,foreign policy,international politics
Call for papers: “china and the asia-pacific century in international politics”,foreign policy analysis,asia-pacific
Call for papers: “china and the asia-pacific century in international politics”,foreign policy analysis,china
Call for papers: “china and the asia-pacific century in international politics”,foreign policy analysis,international politics
Call for papers: “revisiting security and strategic prerogatives in the black sea region”,foreign policy,strategic prerogatives
Call for papers: “revisiting security and strategic prerogatives in the black sea region”,foreign policy,security
Call for papers: “revisiting security and strategic prerogatives in the black sea region”,foreign policy,black sea region
Call for papers: “revisiting security and strategic prerogatives in the black sea region”,foreign policy analysis,strategic prerogatives
Call for papers: “revisiting security and strategic prerogatives in the black sea region”,foreign policy analysis,security
Call for papers: “revisiting security and strategic prerogatives in the black sea region”,foreign policy analysis,black sea region
Journal of advanced forensic sciences,forensic science,forensic sciences
September 2023 issue with special section on fentanyl and its analogs in forensic science,forensic science,forensic science
September 2023 issue with special section on fentanyl and its analogs in forensic science,forensic science,fentanyl
September 2023 issue with special section on fentanyl and its analogs in forensic science,forensic science,analogs
2021 jfs virtual issue: forensic science and terrorism,forensic science,forensic science
2021 jfs virtual issue: forensic science and terrorism,forensic science,terrorism
September 2024 issue with special section on disaster victim identification,forensic science,disaster victim identification
2024 jfs virtual issue: artifacts in digital & multimedia forensics,forensic science,artifacts
2024 jfs virtual issue: artifacts in digital & multimedia forensics,forensic science,multimedia forensics
2024 jfs virtual issue: artifacts in digital & multimedia forensics,forensic science,digital forensics
2022 jfs virtual issue: role of forensic anthropology in mass disaster identification,forensic science,forensic anthropology
2022 jfs virtual issue: role of forensic anthropology in mass disaster identification,forensic science,mass disaster identification
Emissions and uptake of reactive compounds from terrestrial ecosystems,forest plants,emissions
Emissions and uptake of reactive compounds from terrestrial ecosystems,forest plants,uptake
Emissions and uptake of reactive compounds from terrestrial ecosystems,forest plants,terrestrial ecosystems
Emissions and uptake of reactive compounds from terrestrial ecosystems,forest plants,reactive compounds
Measurements and modeling of turbulence transport and diffusion in and above plant canopies,forest plants,modeling
Measurements and modeling of turbulence transport and diffusion in and above plant canopies,forest plants,plant canopies
Measurements and modeling of turbulence transport and diffusion in and above plant canopies,forest plants,diffusion
Measurements and modeling of turbulence transport and diffusion in and above plant canopies,forest plants,measurements
Measurements and modeling of turbulence transport and diffusion in and above plant canopies,forest plants,turbulence transport
Plants and ecosystems’ water use strategies under limited environmental conditions and disturbances,forest plants,water use strategies
Plants and ecosystems’ water use strategies under limited environmental conditions and disturbances,forest plants,environmental conditions
Plants and ecosystems’ water use strategies under limited environmental conditions and disturbances,forest plants,disturbances
Radiative fluxes in forest and agricultural systems,forest plants,forest systems
Radiative fluxes in forest and agricultural systems,forest plants,radiative fluxes
Radiative fluxes in forest and agricultural systems,forest plants,agricultural systems
Book chapter: the future of free speech: old threats and new challenges,free speech,free speech
Book chapter: the future of free speech: old threats and new challenges,free speech,challenges
Book chapter: the future of free speech: old threats and new challenges,free speech,threats
International journal for the semiotics of law: special issue on free speech,free speech,free speech
Call for papers: hate speech vs. free speech,free speech,free speech
Call for papers: hate speech vs. free speech,free speech,hate speech
Article: speech that isn’t mine: obligations under the european court of human rights,free speech,european court of human rights
Article: speech that isn’t mine: obligations under the european court of human rights,free speech,obligations
Article: speech that isn’t mine: obligations under the european court of human rights,free speech,speech
Article: freedom of expression and social conflict,free speech,social conflict
Article: freedom of expression and social conflict,free speech,freedom of expression
Case law on hate speech: the enduring question of thresholds,free speech,case law
Case law on hate speech: the enduring question of thresholds,free speech,thresholds
Case law on hate speech: the enduring question of thresholds,free speech,hate speech
"Article: the internet, internet intermediaries and hate speech – freedom of expression in decline?",free speech,internet
"Article: the internet, internet intermediaries and hate speech – freedom of expression in decline?",free speech,freedom of expression
"Article: the internet, internet intermediaries and hate speech – freedom of expression in decline?",free speech,hate speech
"Article: the internet, internet intermediaries and hate speech – freedom of expression in decline?",free speech,internet intermediaries
International journal of human rights: artificial intelligence and online hate speech moderation,free speech,online hate speech moderation
International journal of human rights: artificial intelligence and online hate speech moderation,free speech,artificial intelligence
"Paper: does freedom of expression cause less terrorism? (accepted, political studies, 2020.)",free speech,terrorism
"Paper: does freedom of expression cause less terrorism? (accepted, political studies, 2020.)",free speech,freedom of expression
Integrative genomics,functional genomics,integrative genomics
Genomics data visualization,functional genomics,genomics data visualization
"– game theory for networks, including wireless and vehicular networks.",game theory,wireless networks
"– game theory for networks, including wireless and vehicular networks.",game theory,vehicular networks
"– game theory for networks, including wireless and vehicular networks.",game theory,game theory
"– game theory for networks, including wireless and vehicular networks.",game theory,networks
– game theory for social and biological networks,game theory,social networks
– game theory for social and biological networks,game theory,game theory
– game theory for social and biological networks,game theory,biological networks
– game theory as applied to e-commerce and economic networks,game theory,e-commerce
– game theory as applied to e-commerce and economic networks,game theory,game theory
– game theory as applied to e-commerce and economic networks,game theory,economic networks
– game theory for emerging technologies,game theory,game theory
– game theory for emerging technologies,game theory,emerging technologies
– game theory for network security/resilience,game theory,game theory
– game theory for network security/resilience,game theory,resilience
– game theory for network security/resilience,game theory,network security
– mechanism design for networks,game theory,mechanism design
– mechanism design for networks,game theory,networks
"Special ijgt issue “games, decisions, and language”",game theory,decisions
"Special ijgt issue “games, decisions, and language”",game theory,language
"Special ijgt issue “games, decisions, and language”",game theory,games
"Call for papers, special issue of games",game theory,games
– cooperative and coalition games,game theory,coalition games
– cooperative and coalition games,game theory,cooperative games
"– approaches for multi-agent games (e.g., diplomacy)",game theory,diplomacy
"– approaches for multi-agent games (e.g., diplomacy)",game theory,multi-agent games
Conference theme 2024: gender equality across the gender spectrum,gender identity,gender equality
Conference theme 2024: gender equality across the gender spectrum,gender identity,gender spectrum
Gender studies and sexuality,sexualities,sexuality
Gender studies and sexuality,sexualities,gender studies
Gender studies and sexuality,gender identity,sexuality
Gender studies and sexuality,gender identity,gender studies
Gender studies and sexuality,sexual orientation,sexuality
Gender studies and sexuality,sexual orientation,gender studies
Academic sexuality & gender conference proceedings and publication,sexualities,sexuality
Academic sexuality & gender conference proceedings and publication,sexualities,gender
Academic sexuality & gender conference proceedings and publication,gender identity,sexuality
Academic sexuality & gender conference proceedings and publication,gender identity,gender
Cationic polymers and gene delivery,gene delivery,gene delivery
Cationic polymers and gene delivery,gene delivery,cationic polymers
Dendrimers and gene delivery,gene delivery,dendrimers
Dendrimers and gene delivery,gene delivery,gene delivery
Nanocarriers as gene delivery vehicles,gene delivery,nanocarriers
Nanocarriers as gene delivery vehicles,gene delivery,gene delivery
Non-viral gene delivery,gene delivery,non-viral gene delivery
Aptamer delivery,gene delivery,aptamer delivery
Co-delivery of drugs and genes,gene delivery,genes
Co-delivery of drugs and genes,gene delivery,co-delivery
Co-delivery of drugs and genes,gene delivery,drugs
Dna-carrier interactions,gene delivery,dna-carrier interactions
Dna/rna condensation,gene delivery,dna/rna condensation
Mirna delivery,gene delivery,mirna delivery
Sirna delivery,gene delivery,sirna delivery
Stimuli sensitive delivery vehicles,gene delivery,stimuli sensitive delivery vehicles
Genomics and bioinformatics analysis of human circadian clock,gene expression,bioinformatics
Genomics and bioinformatics analysis of human circadian clock,gene expression,genomics
Genomics and bioinformatics analysis of human circadian clock,gene expression,human circadian clock
Gene regulatory networks,gene regulation,gene regulatory networks
"2016), the ieee workshop on applications of signal processing to audio and acoustics (waspaa",general acoustics,acoustics
"2016), the ieee workshop on applications of signal processing to audio and acoustics (waspaa",general acoustics,signal processing
"2016), the ieee workshop on applications of signal processing to audio and acoustics (waspaa",general acoustics,audio
"2016), the ieee workshop on applications of signal processing to audio and acoustics (waspaa",signal processing,acoustics
"2016), the ieee workshop on applications of signal processing to audio and acoustics (waspaa",signal processing,signal processing
"2016), the ieee workshop on applications of signal processing to audio and acoustics (waspaa",signal processing,audio
"2021), and the international workshop on acoustic signal enhancement (iwaenc",general acoustics,acoustic signal enhancement
"2021), and the international workshop on acoustic signal enhancement (iwaenc",general acoustics,signal processing
"2021), and the international workshop on acoustic signal enhancement (iwaenc",signal processing,acoustic signal enhancement
"2021), and the international workshop on acoustic signal enhancement (iwaenc",signal processing,signal processing
"Genome editing in human health, disease, and therapeutics",general genetics,human health
"Genome editing in human health, disease, and therapeutics",general genetics,therapeutics
"Genome editing in human health, disease, and therapeutics",general genetics,disease
"Genome editing in human health, disease, and therapeutics",general genetics,genome editing
Neurogenomics: from the bench to the clinic,general genetics,neurogenomics
Genomic research and clinical interventions for rare diseases,general genetics,clinical interventions
Genomic research and clinical interventions for rare diseases,general genetics,genomic research
Genomic research and clinical interventions for rare diseases,general genetics,rare diseases
Cardiovascular disease: omics approaches and clinical applications,general genetics,omics approaches
Cardiovascular disease: omics approaches and clinical applications,general genetics,cardiovascular disease
Cardiovascular disease: omics approaches and clinical applications,general genetics,clinical applications
The transcriptomic architecture of common cancers reflects synthetic lethal interactions,general genetics,common cancers
The transcriptomic architecture of common cancers reflects synthetic lethal interactions,general genetics,synthetic lethal interactions
The transcriptomic architecture of common cancers reflects synthetic lethal interactions,general genetics,transcriptomic architecture
Multiomic single-cell profiling identifies critical regulators of postnatal brain,general genetics,postnatal brain
Multiomic single-cell profiling identifies critical regulators of postnatal brain,general genetics,multiomic single-cell profiling
Multiomic single-cell profiling identifies critical regulators of postnatal brain,general genetics,critical regulators
Functional analysis of cancer-associated germline risk variants,general genetics,cancer-associated germline risk variants
Functional analysis of cancer-associated germline risk variants,general genetics,functional analysis
Single-cell mapping of htt somatic repeat expansions,general genetics,htt somatic repeat expansions
Single-cell mapping of htt somatic repeat expansions,general genetics,single-cell mapping
Genomics of rare diseases in the greater middle east,general genetics,genomics
Genomics of rare diseases in the greater middle east,general genetics,greater middle east
Genomics of rare diseases in the greater middle east,general genetics,rare diseases
Quantitative characterization of tissue states using multiomics and ecological spatial analysis,quantitative genomics,multiomics
Quantitative characterization of tissue states using multiomics and ecological spatial analysis,quantitative genomics,quantitative characterization
Quantitative characterization of tissue states using multiomics and ecological spatial analysis,quantitative genomics,tissue states
Quantitative characterization of tissue states using multiomics and ecological spatial analysis,quantitative genomics,ecological spatial analysis
Quantitative characterization of tissue states using multiomics and ecological spatial analysis,general genetics,multiomics
Quantitative characterization of tissue states using multiomics and ecological spatial analysis,general genetics,quantitative characterization
Quantitative characterization of tissue states using multiomics and ecological spatial analysis,general genetics,tissue states
Quantitative characterization of tissue states using multiomics and ecological spatial analysis,general genetics,ecological spatial analysis
Spatially resolved transcriptomic analysis of the adult human prostate,general genetics,adult human prostate
Spatially resolved transcriptomic analysis of the adult human prostate,general genetics,spatially resolved transcriptomic analysis
Rare loss-of-function variants in hectd2 and akap11 confer risk of bipolar disorder,general genetics,loss-of-function variants
Rare loss-of-function variants in hectd2 and akap11 confer risk of bipolar disorder,general genetics,bipolar disorder
Rare loss-of-function variants in hectd2 and akap11 confer risk of bipolar disorder,general genetics,akap11
Rare loss-of-function variants in hectd2 and akap11 confer risk of bipolar disorder,general genetics,hectd2
The landscape of n6-methyladenosine in localized primary prostate cancer,general genetics,localized primary prostate cancer
The landscape of n6-methyladenosine in localized primary prostate cancer,general genetics,n6-methyladenosine
The interplay between germline and somatic variants in alpha-1 anti-trypsin deficiency liver disease,general genetics,liver disease
The interplay between germline and somatic variants in alpha-1 anti-trypsin deficiency liver disease,general genetics,germline variants
The interplay between germline and somatic variants in alpha-1 anti-trypsin deficiency liver disease,general genetics,somatic variants
The interplay between germline and somatic variants in alpha-1 anti-trypsin deficiency liver disease,general genetics,alpha-1 anti-trypsin deficiency
Causal machine learning for single-cell genomics,quantitative genomics,causal machine learning
Causal machine learning for single-cell genomics,quantitative genomics,single-cell genomics
Causal machine learning for single-cell genomics,general genetics,causal machine learning
Causal machine learning for single-cell genomics,general genetics,single-cell genomics
