conference_topic,journal,extracted_concept
14. overlooked areas in sexual and reproductive health and rights,sexual health,sexual health
14. overlooked areas in sexual and reproductive health and rights,sexual health,reproductive rights
14. overlooked areas in sexual and reproductive health and rights,sexual health,reproductive health
14. overlooked areas in sexual and reproductive health and rights,sexual health,sexual rights
Family relationships and well-being,family relationships,family studies
Impact of work-life balance on family relationships,family relationships,work-life balance
Impact of work-life balance on family relationships,family relationships,family studies
What are the effects of divorce and separation of family relationships?,family relationships,divorce
What are the effects of divorce and separation of family relationships?,family relationships,family studies
Explain healthy marriages and family relationships.,family relationships,marriage studies
Explain healthy marriages and family relationships.,family relationships,family studies
Talk about family relationships and dominant culture.,family relationships,cultural studies
Talk about family relationships and dominant culture.,family relationships,family studies
Strategies to reduce the frequency of family conflicts,family relationships,family conflict
How to build a strong family relationship?,family relationships,family relationships
autism spectrum disorder (asd),family systems,autism spectrum disorder
family processes,family systems,family processes
family sustainability,family systems,family sustainability
Automation in soilless farming systems,farming systems,soilless farming
Automation in soilless farming systems,farming systems,automation
Climate resilient crop varieties and farming systems,farming systems,crop varieties
Climate resilient crop varieties and farming systems,farming systems,climate resilient crops
"Climate change resilience and vulnerability of farming systems, agri-business and rural areas",farming systems,agri-business
"Climate change resilience and vulnerability of farming systems, agri-business and rural areas",farming systems,climate change vulnerability
"Climate change resilience and vulnerability of farming systems, agri-business and rural areas",farming systems,climate change resilience
"Climate change resilience and vulnerability of farming systems, agri-business and rural areas",farming systems,rural studies
Hydroponic and aeroponic systems,farming systems,aeroponics
Hydroponic and aeroponic systems,farming systems,hydroponics
Iot and data analytics in smart farming,farming systems,internet of things
Iot and data analytics in smart farming,farming systems,data analytics
Iot and data analytics in smart farming,farming systems,smart farming
Nutrient management in soilless agriculture,farming systems,nutrient management
Nutrient management in soilless agriculture,farming systems,soilless agriculture
Integration of ai and robotics in smart farming,farming systems,artificial intelligence
Integration of ai and robotics in smart farming,farming systems,smart farming
Integration of ai and robotics in smart farming,farming systems,robotics
Biotechnology in pest and disease management,farming systems,disease management
Biotechnology in pest and disease management,farming systems,pest management
Biotechnology in pest and disease management,farming systems,biotechnology
Automation in crop monitoring and management,farming systems,crop management
Automation in crop monitoring and management,farming systems,automation
Automation in crop monitoring and management,farming systems,crop monitoring
Innovations in crop protection,farming systems,crop protection
Soil fertility management technologies,farming systems,soil fertility management
Adaptation strategies for climate change in farming,farming systems,climate change adaptation
Water management and climate change mitigation,farming systems,climate change mitigation
Water management and climate change mitigation,farming systems,water management
Agroforestry for climate change adaptation,farming systems,climate change adaptation
Agroforestry for climate change adaptation,farming systems,agroforestry
Carbon sequestration in agricultural practices,farming systems,carbon sequestration
Precision agriculture using robotics,farming systems,robotics
Precision agriculture using robotics,farming systems,precision agriculture
Remote sensing for crop monitoring,farming systems,remote sensing
Robotics in harvesting and planting,farming systems,harvesting
Robotics in harvesting and planting,farming systems,robotics
Sensor technologies for soil and crop health,farming systems,soil science
Sensor technologies for soil and crop health,farming systems,crop science
Automation in irrigation and pest control,farming systems,pest control
Automation in irrigation and pest control,farming systems,irrigation
"Agricultural, livestock and fisheries production: economic performance and competitiveness",farming systems,agricultural production
"Agricultural, livestock and fisheries production: economic performance and competitiveness",farming systems,livestock production
"Digitalization in the farming sector, agri-business and governance of rural areas",farming systems,rural governance
"Digitalization in the farming sector, agri-business and governance of rural areas",farming systems,digitalization
Precision and smart agriculture: social and economic implications and prospects,farming systems,smart agriculture
Precision and smart agriculture: social and economic implications and prospects,farming systems,precision agriculture
Adoption of innovations and new technologies in the farming sector and agri-business,farming systems,innovation adoption
Solidary agri-food networks,farming systems,agri-food networks
Absence without leave,federal labor relations,employment law
Adverse action,federal labor relations,employment law
Alternative dispute resolution (adr),federal labor relations,alternative dispute resolution
Alternative dispute resolution (adr),federal labor relations,conflict resolution
Alternative dispute resolution (adr),federal labor relations,labor relations
Arbitration,federal labor relations,labor relations
Arbitration,federal labor relations,arbitration
Bargaining unit (bu) employee,federal labor relations,collective bargaining
Bargaining unit (bu) employee,federal labor relations,labor relations
equal employment opportunity commission,federal labor relations,employment law
performance-based action,federal labor relations,performance management
performance improvement plan (pip),federal labor relations,performance management
poor performance,federal labor relations,performance management
Progressive discipline,federal labor relations,labor relations
Appeal,federal labor relations,administrative law
Notice period,federal labor relations,employment law
Preponderance of the evidence,federal labor relations,legal standards
Probationary period,federal labor relations,human resource management
Probationary period,federal labor relations,employment law
Reduction in grade and/or pay,federal labor relations,employment law
Substantial evidence,federal labor relations,labor law
The role of insurance regulations in protecting consumers,insurance regulations,consumer protection
(re)insurance claims,insurance regulations,reinsurance
The role of anti-money laundering (aml) regulations in the insurance industry,insurance regulations,anti-money laundering
The role of anti-money laundering (aml) regulations in the insurance industry,insurance regulations,insurance industry
How regulatory changes affect the distribution of insurance products,insurance regulations,insurance distribution
The role of insurance regulators in managing systemic risk,insurance regulations,systemic risk
The impact of tax laws on life insurance and annuity products,insurance regulations,life insurance
The impact of tax laws on life insurance and annuity products,insurance regulations,tax law
How global regulatory harmonization impacts multinational insurance companies,insurance regulations,regulatory harmonization
The role of national insurance supervisors in ensuring market stability,insurance regulations,financial supervision
How regulatory changes are shaping the health insurance industry,insurance regulations,health insurance
How regulatory changes are shaping the health insurance industry,insurance regulations,regulatory policy
The role of insurance compliance programs in managing regulatory risk,insurance regulations,risk management
The role of insurance compliance programs in managing regulatory risk,insurance regulations,insurance compliance
The impact of consumer protection laws on insurance marketing practices,insurance regulations,insurance marketing
The impact of consumer protection laws on insurance marketing practices,insurance regulations,consumer protection law
How blockchain technology can improve regulatory compliance in insurance,insurance regulations,regulatory compliance
How blockchain technology can improve regulatory compliance in insurance,insurance regulations,insurance technology
How blockchain technology can improve regulatory compliance in insurance,insurance regulations,blockchain technology
Risk management in insurance,insurance regulations,risk management
Health insurance systems,insurance regulations,health insurance
Sustainable insurance and climate risk,insurance regulations,sustainable insurance
Sustainable insurance and climate risk,insurance regulations,climate risk
Usage-based insurance (ubi),insurance regulations,insurance
Artificial intelligence and machine learning in insurance,insurance regulations,machine learning
Artificial intelligence and machine learning in insurance,insurance regulations,artificial intelligence
Artificial intelligence and machine learning in insurance,insurance regulations,insurance
Blockchain and smart contracts,insurance regulations,smart contracts
Blockchain and smart contracts,insurance regulations,blockchain
Cyber insurance and digital risks,insurance regulations,cyber insurance
How automobile insurance companies respond to regulatory changes,insurance regulations,automobile insurance
The role of regulatory bodies in preventing insurance fraud,insurance regulations,insurance fraud
How data privacy laws affect fraud detection in insurance,insurance regulations,data privacy law
How data privacy laws affect fraud detection in insurance,insurance regulations,fraud detection
The legal implications of smart contracts in insurance,insurance regulations,smart contracts
The legal implications of smart contracts in insurance,insurance regulations,insurance law
The legal challenges of insurance fraud prosecution,insurance regulations,insurance law
The legal challenges of insurance fraud prosecution,insurance regulations,insurance fraud
Molecular aspects of female infertility,female infertility,molecular biology
Molecular aspects of female infertility,female infertility,reproductive biology
Reproductive aging,female infertility,aging
Reproductive aging,female infertility,reproductive biology
autonomy and agency in feminist ethics,feminist ethics,agency
autonomy and agency in feminist ethics,feminist ethics,autonomy
feminist ethics as an independent subject and/or as a part of feminist philosophy,feminist ethics,feminist philosophy
Feminism and criminal justice,feminist ethics,criminal justice
Feminist political theory and agency,feminist ethics,feminist political theory
Gender representation in politics,feminist ethics,gender studies
International relations and gender justice,feminist ethics,international relations
Intersectionality in political ethics,feminist ethics,intersectionality
Intersectionality in political ethics,feminist ethics,political ethics
Deontology through a feminist lens,feminist ethics,deontology
Feminist perspectives on consequentialism,feminist ethics,consequentialism
Ecofeminism: bridging environmental ethics and feminism,feminist ethics,environmental ethics
Ecofeminism: bridging environmental ethics and feminism,feminist ethics,ecofeminism
The ethics of care in contemporary feminist thought,feminist ethics,ethics of care
Intersectionality and moral reasoning,feminist ethics,moral reasoning
Intersectionality and moral reasoning,feminist ethics,intersectionality
#metoo in an intersectional context,feminist ethics,intersectionality
#metoo as an international phenomenon,feminist ethics,international studies
#metoo and solidarity,feminist ethics,solidarity studies
#metoo and activism,feminist ethics,activism studies
#metoo in the law,feminist ethics,feminist legal studies
(mis)interpretations of #metoo,feminist ethics,interpretation studies
Changes in social and moral norms,feminist ethics,social norms
Changes in social and moral norms,feminist ethics,moral philosophy
"Love, sex, and relationships",feminist ethics,relationship ethics
"Love, sex, and relationships",feminist ethics,ethics of love
"Love, sex, and relationships",feminist ethics,sexual ethics
Feminist revolutions,feminist ethics,social movements
Feminist revolutions,feminist ethics,feminist theory
Individual vs. collective responsibility,feminist ethics,individual responsibility
Individual vs. collective responsibility,feminist ethics,collective responsibility
Human rights,global media,human rights
Communication and empire,global media,communication studies
Communication and empire,global media,empire studies
Crises and conflicts,global media,crisis studies
Crises and conflicts,global media,conflict studies
Communication and media ethics,global media,media ethics
Economics of communication,global media,communication economics
"Innovation, regulation and control",global media,control theory
Collaborative media practices and third spaces,global media,collaborative media
Collaborative media practices and third spaces,global media,third space theory
Critical media approaches and ethnographies,global media,critical media studies
"The nonhuman, the elemental, the geological and/as media",global media,nonhuman studies
"Norms, power relations and injustices in digitality: global perspectives",global media,digital media studies
Immigration and citizenship,global media,immigration studies
Ethnicity and identity,global media,identity studies
Girls in literature,feminist literary theory,literature
Rhetoric and composition,rhetorical theory,rhetoric
Rhetorical listening,rhetorical theory,rhetoric
Sonic rhetoric,rhetorical theory,rhetoric
Object-oriented rhetoric,rhetorical theory,rhetoric
Feminist scholarship,feminist scholarship,feminist theory
Feminist scholarship,feminist scholarship,gender studies
Translation as counter-hegemonic,feminist scholarship,critical theory
Translation as counter-hegemonic,feminist scholarship,translation studies
Analyses of translations of feminist texts,feminist scholarship,literary analysis
Analyses of translations of feminist texts,feminist scholarship,feminist theory
Analyses of translations of feminist texts,feminist scholarship,translation studies
Language reclamation as feminist practice,feminist scholarship,language reclamation
Language reclamation as feminist practice,feminist scholarship,sociolinguistics
Language reclamation as feminist practice,feminist scholarship,feminist theory
"Futures of feminist science studies, women's studies special issue",feminist science,women's studies
Government & feminist technology studies (egov,feminist technology studies,public policy
Government & feminist technology studies (egov,feminist technology studies,government studies
Responsive technology design in the public sector,feminist technology studies,human-computer interaction
Responsive technology design in the public sector,feminist technology studies,public sector technology
Femtech),feminist technology studies,femtech
Neuroimaging techniques,fetal neurodevelopment,neuroimaging
1: lasers,fiber optics,lasers
3: photonics,fiber optics,photonics
Film and film history,film history,film studies
Filmbasematters: a material approach to transnational histories of small-gauge film,film history,film studies
solitude and loneliness in nordic cinema,film literature,film studies
Financial modeling and the executive suite,financial modeling,executive management
Financial modeling and the executive suite,financial modeling,financial modeling
Capital markets analysis,financial security,capital markets
Cryptocurrency trends,financial security,cryptocurrency
Systemic risk management,financial security,systemic risk
Systemic risk management,financial security,risk management
Encouraging precautionary savings to support emergency financial needs,financial security,precautionary savings
Digital cash and payment systems,financial security,payment systems
Digital cash and payment systems,financial security,digital cash
Forensics and monitoring,financial security,financial monitoring
Forensics and monitoring,financial security,financial forensics
Fraud detection and financial crime prevention,financial security,financial crime prevention
Fraud detection and financial crime prevention,financial security,fraud detection
Regulation and law enforcement,financial security,financial regulation
Regulation and law enforcement,financial security,law enforcement
Transaction graph analysis,financial security,transaction graph analysis
Fine motor control,fine motor control,motor control
Best fitness apps and wearable devices,fitness,mobile health
Best fitness apps and wearable devices,fitness,wearable technology
How social media influences fitness culture,fitness,social media studies
How social media influences fitness culture,fitness,fitness culture
How to maintain fitness and mobility in later life,fitness,gerontology
Strength training and its importance for overall fitness,fitness,strength training
What does your fitness assessment tell you?,fitness,fitness assessment
Does cardiorespiratory fitness influence the effect of acute aerobic exercise on executive function?,fitness,cardiorespiratory fitness
Does cardiorespiratory fitness influence the effect of acute aerobic exercise on executive function?,fitness,aerobic exercise
Can exercise increase fitness and reduce weight in patients with schizophrenia and depression?,fitness,depression
Can exercise increase fitness and reduce weight in patients with schizophrenia and depression?,fitness,schizophrenia
Can exercise increase fitness and reduce weight in patients with schizophrenia and depression?,fitness,fitness
Can exercise increase fitness and reduce weight in patients with schizophrenia and depression?,fitness,weight management
Does cardiorespiratory fitness buffer stress reactivity and stress recovery in police officers?,fitness,stress physiology
Does cardiorespiratory fitness buffer stress reactivity and stress recovery in police officers?,fitness,cardiorespiratory fitness
Does cardiorespiratory fitness buffer stress reactivity and stress recovery in police officers?,fitness,occupational health
Does higher physical fitness protect master athletes from consequences of covid-19 infection?,fitness,infectious diseases
Does higher physical fitness protect master athletes from consequences of covid-19 infection?,fitness,sports science
Does higher physical fitness protect master athletes from consequences of covid-19 infection?,fitness,physical fitness
How reliable are wearable fitness tracking devices?,fitness,wearable technology
How reliable are wearable fitness tracking devices?,fitness,fitness tracking
Does physical fitness improve academic success?,fitness,physical fitness
Do warm-up exercises play a role in developing the physical fitness of players?,fitness,exercise physiology
Do warm-up exercises play a role in developing the physical fitness of players?,fitness,physical fitness
Is physical fitness training beneficial or dangerous for stroke patients?,fitness,physical fitness
Is physical fitness training beneficial or dangerous for stroke patients?,fitness,stroke rehabilitation
In what cases are there increases in physical activity but no measurable gains in physical fitness?,fitness,physical activity
In what cases are there increases in physical activity but no measurable gains in physical fitness?,fitness,physical fitness
How to assess the stamina and physical fitness of an individual?,fitness,exercise physiology
How to assess the stamina and physical fitness of an individual?,fitness,physical fitness
Is there a difference between physical activity and physical fitness?,fitness,physical activity
Is there a difference between physical activity and physical fitness?,fitness,physical fitness
Can yoga enhance both mental and physical fitness?,fitness,yoga
Can yoga enhance both mental and physical fitness?,fitness,mental health
Can yoga enhance both mental and physical fitness?,fitness,physical fitness
How does physical activity affect your fitness?,fitness,physical activity
How does physical activity affect your fitness?,fitness,fitness
Why are fitness standards higher than health standards?,fitness,fitness standards
Why are fitness standards higher than health standards?,fitness,health standards
Personal trainers’ role in achieving fitness goals,fitness,fitness goals
Personal trainers’ role in achieving fitness goals,fitness,personal training
Social and psychological benefits of group fitness classes,fitness,social benefits
Social and psychological benefits of group fitness classes,fitness,psychological benefits
Aerobic exercise for cardiovascular fitness,fitness,aerobic exercise
Nutrition and fitness: how diet can enhance the effect of exercise,fitness,nutrition
Health and fitness,fitness,health
Health and fitness,fitness,fitness
Evaluation of popular workouts,fitness,exercise science
Evaluation of popular workouts,fitness,workout evaluation
How physical activity can reduce stress,fitness,physical activity
How physical activity can reduce stress,fitness,stress management
Benefits of regular exercise on mental health,fitness,exercise science
Benefits of regular exercise on mental health,fitness,mental health
Basketball topics,fitness,basketball
Metabolism research topics,fitness,metabolism
Baseball topics,fitness,baseball
Golf topics,fitness,golf
How does exercise reduce stress?,fitness,stress
How does exercise reduce stress?,fitness,exercise
Pros and cons of regular gym attendance,fitness,gym attendance
Effective practices for gym safety and injury prevention,fitness,injury prevention
Pros and cons of working out at home instead of gyms,fitness,exercise science
How gym design and atmosphere influence workout experience,fitness,environmental psychology
Hydration and its impact on exercise,fitness,exercise science
Hydration and its impact on exercise,fitness,hydration
Pros and cons high-intensity interval training,fitness,exercise physiology
Pros and cons high-intensity interval training,fitness,high-intensity interval training
Exercise for building muscles and increasing bone density,fitness,muscle physiology
Exercise for building muscles and increasing bone density,fitness,bone biology
How stretching and yoga increase flexibility and mobility,fitness,yoga
How stretching and yoga increase flexibility and mobility,fitness,stretching
How stretching and yoga increase flexibility and mobility,fitness,mobility
How stretching and yoga increase flexibility and mobility,fitness,flexibility
The link between quality rest and exercise performance,fitness,exercise physiology
The link between quality rest and exercise performance,fitness,exercise performance
Can exercise increase fitness and reduce weight in patients with schizophrenia and depression?,schizophrenia,exercise science
Positive and negative symptoms of schizophrenia,schizophrenia,psychiatry
Positive and negative symptoms of schizophrenia,schizophrenia,clinical psychology
Dysregulated but not decreased salience network activity in schizophrenia,schizophrenia,neuroscience
Dysregulated but not decreased salience network activity in schizophrenia,schizophrenia,brain research
Treatment intervention for paranoid schizophrenia,schizophrenia,psychiatry
Treatment intervention for paranoid schizophrenia,schizophrenia,clinical psychology
Biological and cognitive approaches for the treatment of schizophrenia,schizophrenia,biological psychiatry
Clinical practice on schizophrenia family work,schizophrenia,schizophrenia
Clinical practice on schizophrenia family work,schizophrenia,family therapy
Altered cerebral blood flow covariance network in schizophrenia,schizophrenia,schizophrenia
Altered cerebral blood flow covariance network in schizophrenia,schizophrenia,cerebral blood flow
"Dopamine, psychosis and schizophrenia: the widening gap between basic and clinical neuroscience",schizophrenia,basic neuroscience
"Dopamine, psychosis and schizophrenia: the widening gap between basic and clinical neuroscience",schizophrenia,schizophrenia
"Dopamine, psychosis and schizophrenia: the widening gap between basic and clinical neuroscience",schizophrenia,clinical neuroscience
"Dopamine, psychosis and schizophrenia: the widening gap between basic and clinical neuroscience",schizophrenia,psychosis
"Dopamine, psychosis and schizophrenia: the widening gap between basic and clinical neuroscience",schizophrenia,dopamine research
Psychosocial rehabilitation for schizophrenia,schizophrenia,psychosocial rehabilitation
Psychosocial rehabilitation for schizophrenia,schizophrenia,schizophrenia
Psychology: schizophrenia and widely used treatments,schizophrenia,schizophrenia
Psychology: schizophrenia and widely used treatments,schizophrenia,psychology
Chronicity and sex affect genetic risk prediction in schizophrenia,schizophrenia,risk prediction
Chronicity and sex affect genetic risk prediction in schizophrenia,schizophrenia,genetics
Paranoid schizophrenia and nursing interventions,schizophrenia,nursing
Altered basal ganglia network integration in schizophrenia,schizophrenia,basal ganglia
"Antipsychotics, metabolic adverse effects, and cognitive function in schizophrenia",schizophrenia,cognitive neuroscience
Schizoaffective disorder: the bridge between schizophrenia and bipolar,schizophrenia,bipolar disorder
Dysfunctional brain networks and genetic risk for schizophrenia,schizophrenia,genetics
Antigliadin antibodies relation to neurochemistry in schizophrenia,schizophrenia,immunology
Antigliadin antibodies relation to neurochemistry in schizophrenia,schizophrenia,neurochemistry
Is early intervention occupational therapy effective for schizophrenia?,schizophrenia,early intervention
Is early intervention occupational therapy effective for schizophrenia?,schizophrenia,schizophrenia
Is early intervention occupational therapy effective for schizophrenia?,schizophrenia,occupational therapy
How do environmental factors affect the development of schizophrenia?,schizophrenia,environmental factors
How to reduce social interaction anxiety in schizophrenia?,schizophrenia,social interaction
How to reduce social interaction anxiety in schizophrenia?,schizophrenia,schizophrenia
How to reduce social interaction anxiety in schizophrenia?,schizophrenia,social anxiety
What are the environmental and genetic effects of schizophrenia?,schizophrenia,schizophrenia
What are the environmental and genetic effects of schizophrenia?,schizophrenia,genetics
What is the diagnosis of the etiology of schizophrenia?,schizophrenia,diagnosis
What is the diagnosis of the etiology of schizophrenia?,schizophrenia,schizophrenia
Subjective and objective cognitive dysfunction in schizophrenia is there a link?,schizophrenia,cognitive dysfunction
What is the modified volume and functional connectivity of the habenula in schizophrenia?,schizophrenia,functional connectivity
What mechanism underlies schizophrenia?,schizophrenia,neuroscience
Does non-adherence increase treatment costs in schizophrenia?,schizophrenia,health economics
"Clozapine and the schizophrenia syndrome: past, present, and future",schizophrenia,schizophrenia
Cerebellar-cerebral connectivity and cognitive deficits in schizophrenia,schizophrenia,cognitive neuroscience
Self disturbance in schizophrenia,schizophrenia,schizophrenia
Schizophrenia and causes for this complex and puzzling illness,schizophrenia,schizophrenia
How do gray matter effects schizophrenia and bipolar disorder?,schizophrenia,bipolar disorder
How do gray matter effects schizophrenia and bipolar disorder?,schizophrenia,schizophrenia
How do gray matter effects schizophrenia and bipolar disorder?,schizophrenia,gray matter
Are people with schizophrenia dangerous and unpredictable?,schizophrenia,schizophrenia
How will the mild encephalitis hypothesis of schizophrenia influence stigmatization?,schizophrenia,stigmatization
How will the mild encephalitis hypothesis of schizophrenia influence stigmatization?,schizophrenia,schizophrenia
How will the mild encephalitis hypothesis of schizophrenia influence stigmatization?,schizophrenia,encephalitis
What are the major main barriers to treatment that someone with schizophrenia?,schizophrenia,schizophrenia
What are the major main barriers to treatment that someone with schizophrenia?,schizophrenia,treatment barriers
What is the relationship between violence and schizophrenia?,schizophrenia,schizophrenia
What is the relationship between violence and schizophrenia?,schizophrenia,violence
"Guidance, navigation, and control",flight control systems,control systems
Flight tests and instrumentation,flight control systems,flight testing
Flexible and resilient control systems,flight control systems,resilient control
Flexible and resilient control systems,flight control systems,control systems
Modern flight mechanics,flight control systems,flight mechanics
Autonomous systems,flight control systems,autonomous systems
Neural networks and machine learning,flight control systems,machine learning
Neural networks and machine learning,flight control systems,neural networks
Flight dynamics,flight control systems,flight dynamics
Reconfigurable and fault-tolerant control,flight control systems,fault-tolerant control
System identification,flight control systems,system identification
System identification,flight control systems,control engineering
Flight control system architecture optimization for fly-by-wire airliners,flight optimization,control systems
Optimization of aircraft container loading,flight optimization,logistics
Optimization of aircraft container loading,flight optimization,operations research
Flight risk analysis tool (frat),flight risk analysis,flight risk assessment
Flight risk analysis tool (frat),flight risk analysis,risk analysis
“charges pending against the defendant at the time of arrest”,flight risk analysis,criminal law
“charges pending against the defendant at the time of arrest”,flight risk analysis,criminal justice
“number of prior misdemeanor arrests”,flight risk analysis,criminology
“number of prior misdemeanor arrests”,flight risk analysis,criminal justice
“number of prior failures to appear”,flight risk analysis,criminology
“number of prior failures to appear”,flight risk analysis,criminal justice
“whether the defendant was employed at the time of the arrest”,flight risk analysis,employment studies
“whether the defendant was employed at the time of the arrest”,flight risk analysis,criminology
“whether the defendant was employed at the time of the arrest”,flight risk analysis,criminal justice
Single-pilot resource management,flight risk analysis,human factors
Risk managment in aviation environment,flight risk analysis,risk management
Aviation safety management,flight risk analysis,aviation safety
A prior fta that is more than two years old earns a defendant one point,flight risk analysis,risk analysis
Validation of flight dynamic stability optimization constraints with flight tests,flight validation,flight dynamics
Validation of flight dynamic stability optimization constraints with flight tests,flight validation,flight stability
Flight dynamics of unconventional configurations,flight validation,flight dynamics
Open and closed-loop control systems for active flow control,flow control,control systems
"Active flow control, active load control",flow control,flow control
"Flow control under extreme conditions, such as hypersonic flights, space or martian environments",flow control,flow control
"Control of turbulence and transition to turbulence, including laminar",flow control,turbulence
"Induced vibration suppression, and flow oscillations control",flow control,fluid dynamics
"Induced vibration suppression, and flow oscillations control",flow control,vibration control
"Induced vibration suppression, and flow oscillations control",flow control,flow control
Fluid mechanics of gradient driven microfluidics,fluid mechanics,fluid mechanics
Fluid mechanics of gradient driven microfluidics,fluid mechanics,microfluidics
Wave propagation,fluid mechanics,wave propagation
Wind-wave interaction,fluid mechanics,wind-wave interaction
Wave-structure interaction,fluid mechanics,wave-structure interaction
Multiple structure interaction with waves,fluid mechanics,structure interaction
Multiple structure interaction with waves,fluid mechanics,wave mechanics
Marine pollutant transport,fluid mechanics,transport phenomena
Marine pollutant transport,fluid mechanics,fluid mechanics
Marine pollutant transport,fluid mechanics,marine pollution
Food engineering,food biotechnology,food engineering
Food processing,food biotechnology,food processing
Food safety,food biotechnology,food safety
Food safety,food fermentation,food safety
Lactobacillus,food fermentation,lactic acid bacteria
Food defense vs food safety and security,food defense,food safety
Food defense vs food safety and security,food defense,food security
Food defense - employee orientation,food defense,employee training
Impact of food adulteration,food defense,food adulteration
Access management,food defense,access control
Access management,food defense,security management
Food delivery systems and supply chain management,food delivery systems,supply chain management
Food delivery systems and supply chain management,food sustainability,supply chain management
Technological and digital innovations in food systems,food sustainability,food systems
Technological and digital innovations in food systems,food sustainability,digital technology
Agri-food and circular economy,food sustainability,circular economy
"Consumption of foods, ecological human health and wellbeing",food sustainability,ecological health
"Consumption of foods, ecological human health and wellbeing",food sustainability,food consumption
Agro-ecological farming and food production,food sustainability,food production
Food loss and waste (flw),food sustainability,food loss
Food loss and waste (flw),food sustainability,food waste
Green growing practices,food sustainability,sustainable agriculture
Food movement and food security,food sustainability,food security
Food policy,food sustainability,food policy
Locally produced food,food sustainability,local food systems
Entomology and alternative food sources,food sustainability,entomology
Entomology and alternative food sources,food sustainability,alternative food sources
How can policies transform the food system towards a more sustainable and fair value chain?,food sustainability,food systems
How can policies transform the food system towards a more sustainable and fair value chain?,food sustainability,food policy
What are the individual and social factors that influence consumers' sustainable food choices?,food sustainability,consumer behavior
How can urban agriculture contribute to food system sustainability?,food sustainability,urban agriculture
What are the implications of sustainable food practices for rural development and local economies?,food sustainability,local economies
What are the implications of sustainable food practices for rural development and local economies?,food sustainability,rural development
How can partnerships between public and private sectors promote food system sustainability?,food sustainability,food systems
How can partnerships between public and private sectors promote food system sustainability?,food sustainability,public-private partnerships
What are the environmental impacts of different dietary patterns and how can they be mitigated?,food sustainability,dietary patterns
What are the environmental impacts of different dietary patterns and how can they be mitigated?,food sustainability,environmental impacts
How do packaging innovations influence consumer behaviours and sustainability in the food industry?,food sustainability,food industry
How do packaging innovations influence consumer behaviours and sustainability in the food industry?,food sustainability,consumer behaviour
How can consumer trust in sustainable food labels be increased?,food sustainability,consumer trust
How can consumer trust in sustainable food labels be increased?,food sustainability,food labels
quantum dots and carbon rods integrated food products for disease sensing,food nanotechnology,food science
quantum dots and carbon rods integrated food products for disease sensing,food nanotechnology,nanotechnology
enhanced bioavailability of bioactive compounds,food nanotechnology,bioavailability
enhanced bioavailability of bioactive compounds,food nanotechnology,bioactive compounds
incorporation into functional foods,food nanotechnology,food science
incorporation into functional foods,food nanotechnology,functional foods
Lipid oxidation,food preservatives,lipid chemistry
nanotechnology: applications in food and agriculture,food processing,nanotechnology
"natural edible pigments: extraction, stability, metabolism, bioactivity, and application",food processing,natural products
"natural edible pigments: extraction, stability, metabolism, bioactivity, and application",food processing,food chemistry
"chemical contaminants in foods: exposure assessment, health impact & sustainability of food systems",food processing,toxicology
"chemical contaminants in foods: exposure assessment, health impact & sustainability of food systems",food processing,public health
"chemical contaminants in foods: exposure assessment, health impact & sustainability of food systems",food processing,food safety
extraction and structural identification of natural edible pigments from food waste,food processing,food science
extraction and structural identification of natural edible pigments from food waste,food processing,food chemistry
chemical changes of natural edible pigments during storage/processing and mechanisms,food processing,food chemistry
technologies for improving color and natural edible pigments in processed products,food processing,food technology
the interactions of natural edible pigments with food constituents,food processing,food chemistry
Nanotechnology: applications in food and agriculture,food quality,food science
Nanotechnology: applications in food and agriculture,food quality,nanotechnology
Nanotechnology: applications in food and agriculture,food quality,agricultural science
"Natural edible pigments: extraction, stability, metabolism, bioactivity, and application",food quality,natural pigments
"Natural edible pigments: extraction, stability, metabolism, bioactivity, and application",food quality,bioactivity
"Natural edible pigments: extraction, stability, metabolism, bioactivity, and application",food quality,food chemistry
"Chemical contaminants in foods: exposure assessment, health impact & sustainability of food systems",food quality,chemical contaminants
"Chemical contaminants in foods: exposure assessment, health impact & sustainability of food systems",food quality,food safety
Extraction and structural identification of natural edible pigments from food waste,food quality,natural pigments
Extraction and structural identification of natural edible pigments from food waste,food quality,structural identification
Extraction and structural identification of natural edible pigments from food waste,food quality,food chemistry
Chemical changes of natural edible pigments during storage/processing and mechanisms,food quality,food storage
Chemical changes of natural edible pigments during storage/processing and mechanisms,food quality,food processing
Chemical changes of natural edible pigments during storage/processing and mechanisms,food quality,food chemistry
The interactions of natural edible pigments with food constituents,food quality,food chemistry
Industrial and potential applications of natural edible pigments in colorant-based food packaging,food quality,food packaging
Sensory and motivational studies,food quality,sensory science
"Food choice studies of cultural, sensory and environmental factors",food quality,sensory science
"Food choice studies of cultural, sensory and environmental factors",food quality,food choice
"Food choice studies of cultural, sensory and environmental factors",food quality,environmental science
"Food choice studies of cultural, sensory and environmental factors",food quality,cultural studies
"Geographical, cultural and individual differences in perception and preferences",food quality,cultural studies
Sensometric analyses and models of sensory and acceptance parameters,food quality,sensory science
"Consumer psychology and behavior, including the study of emotions",food quality,consumer psychology
Consumer-driven product development,food quality,consumer research
Consumer-driven product development,food quality,product development
Product experience and contextual influences,food quality,contextual influences
Product experience and contextual influences,food quality,product experience
Wine knowledge and taster’s expertise influencing wine perception,food quality,wine perception
Ill-defined wine sensory descriptors,food quality,sensory descriptors
Wine language processing and communication,food quality,natural language processing
